MosquitoID,Date.of.Collection,Marker,Size,Height
06F-09,24/09/14,D21S11,217.57,2161
06F-09,24/09/14,D18S51,300.75,1841
06F-09,24/09/14,D18S51,313.07,1756
06F-09,24/09/14,D22S1045,92.1,3782
06F-09,24/09/14,D22S1045,104.49,2881
06F-09,24/09/14,D19S433,142.42,5211
06F-09,24/09/14,FGA,250.93,2226
06F-09,24/09/14,FGA,254.64,1694
06F-09,24/09/14,D2S441,87.54,3569
06F-09,24/09/14,D3S1358,147.26,2127
06F-09,24/09/14,D3S1358,155.42,1373
06F-09,24/09/14,D1S1656,194.32,1575
06F-09,24/09/14,D1S1656,198.17,423
06F-09,24/09/14,D1S1656,202.16,1142
06F-09,24/09/14,D12S391,244.58,1120
06F-09,24/09/14,D12S391,260.09,743
06F-09,24/09/14,SE33,400.34,931
06F-09,24/09/14,SE33,408.55,774
06F-10,24/09/14,D10S1248,100.37,770
06F-10,24/09/14,D10S1248,104.36,1016
06F-10,24/09/14,vWA,172.43,1959
06F-10,24/09/14,D16S539,244.27,1029
06F-10,24/09/14,D16S539,248.35,671
06F-10,24/09/14,D16S539,252.37,738
06F-10,24/09/14,D2S1338,305.45,351
06F-10,24/09/14,D2S1338,325.93,422
06F-10,24/09/14,D2S1338,329.98,382
06F-10,24/09/14,D2S1338,334,155
06F-10,24/09/14,AMEL,100.56,9934
06F-10,24/09/14,D8S1179,140.54,1623
06F-10,24/09/14,D8S1179,148.83,3776
06F-10,24/09/14,D8S1179,157.14,1506
06F-10,24/09/14,D21S11,195.48,1368
06F-10,24/09/14,D21S11,203.43,1196
06F-10,24/09/14,D21S11,207.47,1672
06F-10,24/09/14,D21S11,217.57,2251
06F-10,24/09/14,D18S51,296.66,1156
06F-10,24/09/14,D18S51,300.74,1918
06F-10,24/09/14,D18S51,304.79,945
06F-10,24/09/14,D18S51,313.07,1899
06F-10,24/09/14,D22S1045,92.05,4448
06F-10,24/09/14,D22S1045,104.45,2477
06F-10,24/09/14,D22S1045,107.5,1671
06F-10,24/09/14,D19S433,138.61,1784
06F-10,24/09/14,D19S433,142.41,4837
06F-10,24/09/14,TH01,192.6,4979
06F-10,24/09/14,FGA,250.85,2326
06F-10,24/09/14,FGA,254.56,1347
06F-10,24/09/14,FGA,262.03,849
06F-10,24/09/14,D2S441,87.51,3657
06F-10,24/09/14,D2S441,91.59,1274
06F-10,24/09/14,D3S1358,147.32,2387
06F-10,24/09/14,D3S1358,155.44,1099
06F-10,24/09/14,D1S1656,194.34,1488
06F-10,24/09/14,D1S1656,198.09,840
06F-10,24/09/14,D1S1656,202.15,823
06F-10,24/09/14,D12S391,244.53,1325
06F-10,24/09/14,D12S391,252.45,546
06F-10,24/09/14,D12S391,260,744
06F-10,24/09/14,SE33,342.78,750
06F-10,24/09/14,SE33,365.37,486
06F-10,24/09/14,SE33,400.34,594
06F-10,24/09/14,SE33,408.6,784
06F-11,24/09/14,D10S1248,100.39,1043
06F-11,24/09/14,D10S1248,104.51,1109
06F-11,24/09/14,vWA,172.53,1859
06F-11,24/09/14,vWA,176.62,906
06F-11,24/09/14,D16S539,244.39,1877
06F-11,24/09/14,D2S1338,305.58,672
06F-11,24/09/14,D2S1338,326.07,182
06F-11,24/09/14,D2S1338,330.12,207
06F-11,24/09/14,D2S1338,334.23,421
06F-11,24/09/14,AMEL,100.58,9878
06F-11,24/09/14,D8S1179,140.55,2540
06F-11,24/09/14,D8S1179,148.81,1712
06F-11,24/09/14,D8S1179,157.16,2277
06F-11,24/09/14,D21S11,195.52,2494
06F-11,24/09/14,D21S11,203.54,2392
06F-11,24/09/14,D21S11,207.53,1043
06F-11,24/09/14,D21S11,217.67,821
06F-11,24/09/14,D18S51,296.67,2147
06F-11,24/09/14,D18S51,300.84,1078
06F-11,24/09/14,D18S51,304.82,2257
06F-11,24/09/14,D18S51,313.05,655
06F-11,24/09/14,D22S1045,92.14,4380
06F-11,24/09/14,D22S1045,104.51,1627
06F-11,24/09/14,D22S1045,107.64,2791
06F-11,24/09/14,D19S433,138.74,2727
06F-11,24/09/14,D19S433,142.48,3908
06F-11,24/09/14,TH01,192.66,5535
06F-11,24/09/14,FGA,250.95,2316
06F-11,24/09/14,FGA,254.64,617
06F-11,24/09/14,FGA,262.08,1599
06F-11,24/09/14,D2S441,87.59,3350
06F-11,24/09/14,D2S441,91.66,1763
06F-11,24/09/14,D3S1358,147.34,3592
06F-11,24/09/14,D1S1656,194.27,1901
06F-11,24/09/14,D1S1656,198.12,1431
06F-11,24/09/14,D12S391,244.66,1204
06F-11,24/09/14,D12S391,252.58,845
06F-11,24/09/14,SE33,342.76,1102
06F-11,24/09/14,SE33,365.31,914
06F-11,24/09/14,SE33,400.26,277
06F-07,25/09/14,D10S1248,99.53,1325
06F-07,25/09/14,D10S1248,100.48,1843
06F-07,25/09/14,vWA,172.52,1866
06F-07,25/09/14,vWA,176.62,1056
06F-07,25/09/14,D16S539,244.39,3448
06F-07,25/09/14,D2S1338,305.55,898
06F-07,25/09/14,D2S1338,330.15,377
06F-07,25/09/14,D2S1338,334.24,391
06F-07,25/09/14,AMEL,100.67,14652
06F-07,25/09/14,AMEL,106.45,3692
06F-07,25/09/14,D8S1179,140.64,6136
06F-07,25/09/14,D8S1179,148.82,2463
06F-07,25/09/14,D8S1179,157.09,3480
06F-07,25/09/14,D21S11,195.55,3369
06F-07,25/09/14,D21S11,203.62,3274
06F-07,25/09/14,D21S11,217.71,4648
06F-07,25/09/14,D18S51,296.71,2763
06F-07,25/09/14,D18S51,304.79,1277
06F-07,25/09/14,D18S51,313.05,1037
06F-07,25/09/14,D22S1045,89.03,3847
06F-07,25/09/14,D22S1045,92.16,6774
06F-07,25/09/14,D22S1045,104.57,3590
06F-07,25/09/14,D22S1045,107.58,5326
06F-07,25/09/14,D19S433,138.83,4670
06F-07,25/09/14,D19S433,142.55,5840
06F-07,25/09/14,D19S433,148.28,2057
06F-07,25/09/14,TH01,192.7,8899
06F-07,25/09/14,FGA,250.09,3215
06F-07,25/09/14,FGA,261.21,1174
06F-07,25/09/14,D2S441,87.61,4400
06F-07,25/09/14,D2S441,91.68,2568
06F-07,25/09/14,D2S441,99.72,1487
06F-07,25/09/14,D3S1358,147.37,3766
06F-07,25/09/14,D3S1358,155.46,2405
06F-07,25/09/14,D1S1656,186.36,827
06F-07,25/09/14,D1S1656,193.32,1345
06F-07,25/09/14,D1S1656,198.13,1376
06F-07,25/09/14,D1S1656,202.12,856
06F-07,25/09/14,D12S391,243.59,1971
06F-07,25/09/14,D12S391,251.54,858
06F-07,25/09/14,SE33,342.83,648
06F-07,25/09/14,SE33,365.25,569
06F-07,25/09/14,SE33,377.54,286
06F-02,26/09/14,D10S1248,92.3,1536
06F-02,26/09/14,vWA,172.59,3127
06F-02,26/09/14,D16S539,244.39,973
06F-02,26/09/14,D16S539,248.49,1297
06F-02,26/09/14,D16S539,252.49,1116
06F-02,26/09/14,D2S1338,326.05,762
06F-02,26/09/14,D2S1338,330.18,526
06F-02,26/09/14,D2S1338,334.21,274
06F-02,26/09/14,AMEL,100.58,10746
06F-02,26/09/14,D8S1179,148.8,6173
06F-02,26/09/14,D21S11,195.64,1366
06F-02,26/09/14,D21S11,203.6,1440
06F-02,26/09/14,D21S11,207.65,2338
06F-02,26/09/14,D21S11,217.76,2580
06F-02,26/09/14,D18S51,296.68,1234
06F-02,26/09/14,D18S51,300.84,2244
06F-02,26/09/14,D18S51,304.91,1182
06F-02,26/09/14,D18S51,313.14,2363
06F-02,26/09/14,D22S1045,92.11,5157
06F-02,26/09/14,D22S1045,104.59,3268
06F-02,26/09/14,D22S1045,107.62,1382
06F-02,26/09/14,D19S433,142.57,6333
06F-02,26/09/14,TH01,192.7,6626
06F-02,26/09/14,FGA,251.03,2988
06F-02,26/09/14,FGA,254.81,1875
06F-02,26/09/14,D2S441,87.64,5560
06F-02,26/09/14,D3S1358,147.33,3145
06F-02,26/09/14,D3S1358,155.41,1888
06F-02,26/09/14,D1S1656,194.31,2482
06F-02,26/09/14,D1S1656,198.13,989
06F-02,26/09/14,D1S1656,202.11,1815
06F-02,26/09/14,D12S391,244.66,1480
06F-02,26/09/14,D12S391,260.09,1027
06F-02,26/09/14,SE33,342.75,536
06F-02,26/09/14,SE33,365.29,521
06F-02,26/09/14,SE33,400.26,1132
06F-02,26/09/14,SE33,408.48,945
06F-04,26/09/14,D10S1248,92.3,1066
06F-04,26/09/14,D10S1248,104.59,1456
06F-04,26/09/14,vWA,172.49,1772
06F-04,26/09/14,vWA,176.61,650
06F-04,26/09/14,D16S539,244.39,1099
06F-04,26/09/14,D16S539,248.49,393
06F-04,26/09/14,D2S1338,305.68,269
06F-04,26/09/14,D2S1338,326.05,206
06F-04,26/09/14,D2S1338,330.09,265
06F-04,26/09/14,D2S1338,334.12,256
06F-04,26/09/14,AMEL,100.58,10318
06F-04,26/09/14,D8S1179,140.55,1912
06F-04,26/09/14,D8S1179,148.81,2542
06F-04,26/09/14,D8S1179,157.06,1230
06F-04,26/09/14,D21S11,195.62,1496
06F-04,26/09/14,D21S11,203.64,1147
06F-04,26/09/14,D21S11,207.63,888
06F-04,26/09/14,D21S11,217.71,1193
06F-04,26/09/14,D18S51,296.75,1392
06F-04,26/09/14,D18S51,300.85,841
06F-04,26/09/14,D18S51,304.92,1122
06F-04,26/09/14,D18S51,313.14,648
06F-04,26/09/14,D22S1045,92.11,6227
06F-04,26/09/14,D22S1045,104.49,2499
06F-04,26/09/14,D22S1045,107.53,2609
06F-04,26/09/14,D19S433,138.83,2366
06F-04,26/09/14,D19S433,142.57,5961
06F-04,26/09/14,TH01,192.75,4324
06F-04,26/09/14,FGA,251.03,2067
06F-04,26/09/14,FGA,254.81,919
06F-04,26/09/14,FGA,262.17,1002
06F-04,26/09/14,D2S441,91.64,1359
06F-04,26/09/14,D3S1358,147.34,3091
06F-04,26/09/14,D1S1656,194.36,1524
06F-04,26/09/14,D1S1656,198.12,998
06F-04,26/09/14,D1S1656,202.13,490
06F-04,26/09/14,D12S391,244.75,865
06F-04,26/09/14,D12S391,252.49,526
06F-04,26/09/14,D12S391,260.09,396
06F-04,26/09/14,SE33,342.76,687
06F-04,26/09/14,SE33,365.29,395
06F-04,26/09/14,SE33,400.26,228
06F-04,26/09/14,SE33,408.4,338
